Категория;Название;Цена;Артикул;Картинка;описание
Кольца, прокладки;"Прокладка прямоугольного сечения Green 1/2""";30 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-000011-kolcoup12-800x600.jpg;"
Прокладка прямоугольного сечения 1/2"" для газовых котлов"
Кольца, прокладки;Уплотнение кольцевое 13,94x2,62 мм для котлов BAXI (5400650);36 руб.;5400650;https://aquatermix.ru/image/cache/data-00000-5400650-800x600.jpg;"
Артикул запчасти: 5400650"
Кольца, прокладки;Уплотнение 9X4X3 для BAXI (5410320);42 руб.;5410320;https://aquatermix.ru/image/cache/data-00000-5410320-800x600.jpg;"
Артикул запчасти: 5410320"
Кольца, прокладки;Уплотнение датчика температуры NTC 9,7х15х2 для котлов BAXI (5402830) JJJ005402830;43 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-00000-3-8-800x600.jpg;"
Артикул запчасти: 5402830, JJJ005402830"
Кольца, прокладки;Уплотнение плоское кольцевое 6,1X11,5X1,5 для котлов BAXI (5402050) JJJ005402050;43 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-00000-5402050-800x600.jpg;"
Артикул запчасти: 5402050 (JJJ005402050)"
Кольца, прокладки;Уплотнение G. 1/2 12x18x2 для котлов BAXI (5408970) JJJ005408970;46 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-00000-1-2-800x600.jpg;"
Артикул запчасти: 5408970, JJJ005408970"
Кольца, прокладки;Уплотнение кольцевое 13,94x2,62 мм для котлов BAXI (711296900);49 руб.;711296900;https://aquatermix.ru/image/cache/data-00000-711296900-800x600.jpg;"
Артикул запчасти: 711296900"
Кольца, прокладки;Уплотнение G. 3/4 17x24x2 для котлов BAXI (5404650) JJJ005404650;50 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-00000-5404650-800x600.jpg;"
Артикул запчасти: 5404650 (JJJ005404650)"
Кольца, прокладки;Уплотнение кольцевое 17,13x2,62 для котлов BAXI (711230600);52 руб.;711230600;https://aquatermix.ru/image/cache/data-00000-711230600-800x600.jpg;"
Артикул запчасти: 711230600"
Кольца, прокладки;Уплотнение G 3/8 8Х15Х2 BAXI (5404970) JJJ005404970;55 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-00000-5404970-800x600.jpg;"
Уплотнение G 3/8 8Х15Х2 для газовых котлов BAXI"
Кольца, прокладки;Уплотнение кольцевое 11,91x2,62 для котлов BAXI (5408270);58 руб.;5408270;https://aquatermix.ru/image/cache/data-00000-5408270-800x600.jpg;"
Артикул запчасти: 5408270"
Кольца, прокладки;Уплотнение кольцевое 21,5х3 для котлов BAXI (710963000) 5403130;59 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-00000-710963000-800x600.jpg;"
Артикул запчасти: 710963000, 5403130"
Кольца, прокладки;Клипса крепежная трубки бай-пасса для котлов BAXI (710679800);77 руб.;710679800;https://aquatermix.ru/image/cache/data-1234567-710679800-1-800x600.jpg;"
Артикул запчасти: 710679800"
Кольца, прокладки;Пружина фиксирующая для котлов BAXI (8380680) JJJ008380680;77 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-a2-8380680-1-800x600.jpg;"
Артикул запчасти: 8380680, JJJ008380680"
Кольца, прокладки;Уплотнение вторичного теплообменника 18,3x3,6 для котлов BAXI (711613500);89 руб.;711613500;https://aquatermix.ru/image/cache/data-00000-711613500-800x600.jpg;"
Артикул запчасти: 711613500"
Теплообменники;Винт фиксирующий теплообменника ГВС для котлов BAXI (710046900);96 руб.;710046900;https://aquatermix.ru/image/cache/data-12345678-710046900-1-800x600.jpg;"
Артикул запчасти: 710046900"
Кольца, прокладки;Уплотнение кольцевое 11,91x2,62 для котлов BAXI (710049100);96 руб.;710049100;https://aquatermix.ru/image/cache/data-00000-710049100-800x600.jpg;"
Артикул запчасти: 710049100"
Кольца, прокладки;Уплотнение кольцевое 23,47x2,62 для котлов BAXI (710047800);96 руб.;710047800;https://aquatermix.ru/image/cache/data-00000-710047800-800x600.jpg;"
Артикул запчасти: 710047800"
Кольца, прокладки;Уплотнение кольцевое 17,86х2,62 первичного теплообменника для котлов BAXI (5404600) JJJ005404600, 710045300;99 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-00000-5404600-800x600.jpg;"
Артикул запчасти: 5404600 JJJ005404600, 710045300"
Кольца, прокладки;Уплотнение датчика пламени для котлов BAXI (710185200) 5409110;103 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-000-710185200-800x600.jpg;"
Артикул запчасти: 710185200, 5409110"
Кольца, прокладки;Уплотнение кольцевое 9.19х2.62 для котлов BAXI (710045700);105 руб.;710045700;https://aquatermix.ru/image/cache/data-00000-710045700-800x600.jpg;"
Артикул запчасти: 710045700"
Кольца, прокладки;Пружина фиксирующая для котлов BAXI (710047400);186 руб. 129 руб.;710047400;https://aquatermix.ru/image/cache/data-00000000000-710047400-800x600.jpg;"
Артикул запчасти: 710047400"
Кольца, прокладки;Уплотнение вторичного теплообменника для котлов BAXI (5404520) JJJ005404520;131 руб. 129 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-00000000000-5404520-800x600.jpg;"
Артикул запчасти: 5404520, JJJ005404520"
